"course_code","course_title","instructor","semester","content_rating","teaching_rating","grading_rating","workload_rating","assessments","content_text","teaching_text","grading_text","workload_text","last_updated"
"ELEC1010","Electronic and Information Technology","YUAN, George Jie; TANG TANG, Raymundo Saijong","2020-21 Fall","B","B","C","B","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✕,Project:✓,Essay:✕,Presentation:✕,Reading Material:✕","Course Outline:\nChapter 1: Signals and Systems\nChapter 2: Digital Systems\nChapter 3: Digitization\nChapter 4: Coding of Digital Information\nChapter 5: Communications\nChapter 6: The Internet\n\nIt's a great introductory CC course to learn related topics if you have no prior knowledge. Nevertheless, due to this course's popularity, you probably can only enrol this course in your senior year. When you finally enrolled, your classmate will likely be a year 4 Engineering student who has already learnt 75% of the course and just wants to fulfil the SSC-S&T CC requirement.","Another semester with online lectures via Zoom 🙂.\n\nI didn't attend many lectures. The professor mostly read from the slides.\n\nTang Tang is a great tutor who can explain concepts clearly. I recommend you to attend the tutorial if you decide to take this course.","Grading Scheme:\nHomework: 10% (2% each)\nMidterm (Online): 45%\nFinal Exam (Online): 45%\n\nThere is an optional group project with 2 people in a group create a ppt introducing a technology. If your group get 8/10 or above, your final grade will be one sub-grade up.","The workload is small, only 5 homework which can be finished within 2 hours. Most homework problems are taught in tutorials so make sure to check the tutorial notes.\n\nI'm not sure about the workload of the project.\nThere is no attendance.\n\nHowever, you need to spend extra time to revise the material before the exam if it is the first time you encounter these topics.","April 2026"
"ELEC1100","Introduction to Electro-Robot Design","LIN, Yen Hung; TANG, Yimeng","2023-24 Spring","B","B","C","B","Mid-term Exam:✓,Final Exam:✕,Assignment:✕,Attendance:✕,Quiz:✓,Project:✓,Essay:✓,Presentation:✕,Reading Material:✕","People with DSE Physics background will only have slight advantage, but not big enough to completely carry them.\n\nStarting with some chill explanations on circuit components, then here comes KCL and KVL, where having some math intuition will help for calculating currents in complex circuits.\n\nDiode and transistors are also new. Good news is you don't need to know why it works, just know how it works. This goes the same for H-bridge and motor design.\n\nFinal part is logic control, where instead of using logic gates, you use Arduino to control your car.\n\nAfter learning everything, you now have to build a small robot car for the project, which it needs to follow a map. Honestly quite fun.","Profess Lin is meh. He has a strange accent which doesn't help the fact the lectures were somewhat boring. It's hard to focus on a 9:30 am lecture.\n\nMs Tang is ok. Strong mainland accent, but she reviews the content quite well in tutorials so the pros and cons balance well.\n\nBut do you know why this is getting a B instead of C? It's because the lab assistant were FUCKING AWESOME. Very helpful, very friendly, couldn't have made it out without him.","Lab 30%\nPop-quiz 10%\nLab Exam 15%\nWritten Exam 20%\nProject (Robot car) 20%\nProject Report 5%\n\nStudent's score: 95.1% → A+\n\nGrading can vary significantly by semester (this semester was relatively lenient).","The main workload is the robot car project (two stages on the map). Many students struggled at stage 1 U-turn. Other components are relatively light.","April 2026"
"ELEC1150","Information Technology Revolution: Past, Present and Future","GUAN, Isabel","2025-26 Fall","B","C","C","A","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✓,Project:✓,Essay:✕,Presentation:✓,Reading Material:✕","Broad overview of IT history and concepts: transistor, Claude Shannon & information theory, computing generations, internet, security, algorithms, emerging trends, entrepreneurship, programming basics & Generative AI. Content feels a bit scattered/messy.","Prof. Guan is nice and willing to answer questions. Lectures are mostly reading from slides and can be a bit boring.","In-lecture quiz 4%, Post-lecture quiz 14%, Coding quiz 10%, Coding Project 10%, Presentation (PPT 5% + delivery 10% + summary 6% + peer review 5%), Final exam 36%. Strict grade cutoffs (A+ starts at 97).","Moderate workload. Weekly quizzes, one relatively easy coding project, presentation preparation, open-book final exam.","April 2026"
"ELEC1200","A System View of Communications: from Signals to Packets","MURCH, Ross; CHOW, Cupid","2024-25 Fall","B","A","B","B","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✓,Project:✕,Essay:✕,Presentation:✕,Reading Material:✕","Over a total of 24 lectures covering signals, systems and networking.\n\nLecture topics include: Basic signal transmission, LTI systems, Protocols, BER & Eye Diagrams, Channel modelling, Equalization, Gaussian noise, Channel coding, Fourier series, Spectrograms, FDM, Networking layers (Link, Network, Transport, Application).\n\nLabs (7 labs + post-lab quiz): MATLAB basics, Modelling Channels, Communication protocol, Eye Diagram & Equalization, SNR & BER, Time-frequency analysis, Frequency division multiplexing.\n\nConcepts are not too difficult but the pace is quite fast. Make your own notes because lecture slides are not detailed enough.","Prof MURCH is friendly and welcomes questions during lecture or office hours. IA is also nice.","Lab Checkpoints 10%\nLab Quizzes 15%\n3 Homeworks 10%\nMidterm 25%\nFinal Exam 40%\n\nStudent example: C grade (detailed HW, quiz and exam scores provided in review). No calculators allowed in exams.","Quite light workload for a 4-credit course. Main effort is understanding concepts and completing labs. No project this semester. Strongly recommend making your own notes.","April 2026"
"ELEC2100","Signals and Systems","YOBAS, Levent; CHANG, Mang Yee","2023-24 Spring","A","A","B","C","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✕,Project:✕,Essay:✕,Presentation:✕,Reading Material:✕","22 topics covered including Complex Numbers, Impulse Response, Convolution, Fourier Series (CT/DT), Fourier Transform (CT/DT), Sampling, Laplace Transform, etc. Content is quite challenging, especially CT/DT Fourier Transforms. Requires strong understanding of mathematical concepts. Good foundation for signal processing.","Prof. Yobas teaches clearly but voice is not very loud. IA CHANG Mang Yee (MY) is excellent in tutorials - highly recommended to attend. She revises key concepts and helps with questions.","Homework 18%, Labs 12%, Midterm 25%, Final 45%. Student scored A (84.845/100) with strong HW and Lab performance.","6 Homeworks + 4 Lab assignments. Moderate workload compared to other courses. Recommend starting homework early and attending prelabs. Exams are similar to homework questions.","April 2026"
"ELEC2350","Introduction to Computer Organization and Design","XIE, Zhiyao","2024-25 Fall","B","A","A","A","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✕,Project:✕,Essay:✕,Presentation:✕,Reading Material:✕","L0 Course introduction\nL1 Introduction\nL2 Computer Arithmetic\nL3 Instruction Program (MIPS)\nL4 Arithmetics II (IEEE754)\nL5 Computer performance\nL6 Single Cycle Processor\nL7 Pipeline Processor\nL8 Memory\n\nContent is much lighter than COMP2611 (no heavy programming). Concepts are straightforward but require attention to detail.","Prof. XIE explains content very clearly with good interaction and review at the start of each lecture. Strict on discipline and sometimes runs overtime. IA Vivian is excellent, responsive, and gives clear tutorials.","10% HW (2 assignments)\n20% Lab (4 labs)\n25% Midterm\n45% Final\n\nExams are manageable if you are careful; many questions are similar to COMP2611 homework.","Very light workload for a 4-credit course (feels like 2 credits). Main effort is on 2 HWs + 4 labs. No project this semester.","April 2026"
"ELEC2400","Electronic Circuits","CHAU, Kevin; CHOI, Ricky Yiu Kee","2023-24 Fall","A","A","B","C","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✕,Project:✕,Essay:✕,Presentation:✕,Reading Material:✕","Week 1-12 covers: Fundamental Concepts, KCL/KVL, DC Analysis, Thevenin/Norton theorems, AC Circuits, Op Amp, Frequency Response (Bode plot), Transient Analysis, Diode Circuits.\n\nConsidered one of the easier ELEC 2000-level courses if you have PHYS1114 background.","Prof. Chau explains fundamentals very well. TA Ricky is very good and helpful in tutorials.","HW*5 10%, Lab*5 20%, Midterm 25%, Final 45%. Student scored 83.55% → A. Grading is fair with guaranteed A-range percentage.","Moderate workload. 5 HWs and 5 Labs. HWs can be time-consuming (especially complex numbers). Labs require advance preparation and bringing kit home.","April 2026"
"ELEC2420","Basic Electronics","SRIVASTAVA, Abhishek Kumar; CHOI, Ricky Yiu Kee","2022-23 Fall","B","A","A","A","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✕,Project:✕,Essay:✕,Presentation:✕,Reading Material:✕","Simplified version of ELEC2400 for non-ECE students. Covers fundamentals, DC analysis (KCL/KVL, superposition, Thevenin/Norton), Op Amps, transient analysis with capacitors, binary arithmetic, Boolean algebra, combinational and sequential logic (latches, flip-flops).","Prof. Srivastava teaches decently with passion. TA Dr. Ricky Choi is excellent, humorous, and very helpful.","HW 10%, Labs 15%, Midterm 20%, Final 55%. Exams are straightforward if you understand concepts.","Very light workload. 7 homeworks (recycled questions), 3 simple labs. Easy if you follow the lectures.","April 2026"
"ELEC2600","Probability and Random Processes in Engineering","WONG, Kai Sun Albert","2024-25 Spring","C","C","A","B","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✕,Project:✕,Essay:✕,Presentation:✕,Reading Material:✕","Boring content that focuses on memorising and applying formulas without deep understanding of the underlying principles. MATH probability courses are better for real understanding (but much harder).","Prof. Wong's lectures are quite boring and confusing. Better to study lecture notes yourself and only watch recordings when needed. He is a nice person by personality.","Homework Assignments 8%\nLaboratory Exercises 12%\nMid-term 30%\nFinal 50%\n\nStudent example: Midterm 91 (+1.7 SD), Final 74.5 (+1 SD) → overall ~84.5% → A","Medium workload for a 4-credit course. 4 assignments + 5 lab exercises. Assignments are useful for exams; labs teach Matplotlib (not tested).","April 2026"
"ELEC3100","Signal Processing and Communications","ZHANG, Jun","2022-23 Spring","A","B","A","C","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✓,Quiz:✕,Project:✕,Essay:✕,Presentation:✕,Reading Material:✕","Lecture topics: Discrete-Time Signals & Systems, DTFT, DFT, FFT, z-Transform, FIR Filter Design, Source Coding, Channel Coding, Baseband Communications, Digital Modulation, Signal Space, Channel Models, Multiplexing.\n\nLabs: CT/DT signals, DFT, Convolution & Filter, Information theory, BER simulation.\n\nContent is solid but requires good understanding of the concepts.","Prof. Zhang explains concepts patiently and in detail. He writes many notes on PPT and uploads annotated versions after every lecture — extremely helpful for revision.","HW 15% (2 assignments), Lab 10% (4 exercises), Midterm 30%, Final 45%. Student scored A+ (high marks in HW/Lab/Midterm). Grading is kind.","Kind of heavy workload. Few but time-consuming HWs and labs. Need to fully understand the material for exams. Labs require attendance to get marks.","April 2026"
